phase	nature	fatalities	file	type	opr	dep	dest	dep_full	dest_full
APR	private	3	20030315-0	Cessna 501 Citation I/SP	Dancing Wind Aviation	SLC	SUN	Salt Lake City International Airport, UT (SLC/KSLC), United States of America	Hailey-Friedman Memorial Airport, ID (SUN/KSUN), United States of America
MNV	other	3	20030325-0	Cessna 208B Grand Caravan	One Leasing			Larandia Air Base, Colombia	Larandia Air Base, Colombia
ENR	military	2	20030325-1	Canadair CL-215-6B11 (CL-215T)	Ejército del Aire			Port de Pollença, Spain	?
ENR	passDomestic	4	20030327-0	de Havilland Canada DHC-6 Twin Otter 300	Air Regional	LII	WMX	Mulia Airport (LII/WABQ), Indonesia	Wamena Airport (WMX/WAJW), Indonesia
APR	private	6	20030404-0	Beechcraft B200 King Air	FS Corsair Inc	LGA	FIT	New York-La Guardia Airport, NY (LGA/KLGA), United States of America	Fitchburg Municipal Airport, MA (FIT/KFIT), United States of America
APR	private	3	20030408-1	Dassault Falcon 20	Grand Aire Express	TVC	TOL	Traverse City Airport, MI (TVC/KTVC), United States of America	Toledo-Express Airport, OH (TOL/KTOL), United States of America
APR	private	3	20030414-0	Grumman HU-16C Albatross	Robert F. Carlson	TUY	CTM	Tulum Airport (TUY), Mexico	Chetumal Airport (CTM/MMCM), Mexico
MNV	other	1	20030426-0	Sino Swearingen SJ30-2	Sino Swearingen	SAT	SAT	San Antonio International Airport, TX (SAT/KSAT), United States of America	San Antonio International Airport, TX (SAT/KSAT), United States of America
ENR	other	7	20030508-0	Ilyushin 76MD			FBM	Kinshasa (unknown airport), Congo (Democratic Republic)	Lubumbashi-Luano (FBM/FZQA), Congo (Democratic Republic)
ENR	military	4	20030516-0	Antonov 12BP	Força Aérea Popular de Angola	SPP		Menongue Airport (SPP/FNME), Angola	?
LDG	military	4	20030521-0	Learjet U-36A	Japan Maritime Self Defence Force - JMSDF	MCAS	MCAS	Iwakuni MCAS (RJOI), Japan	Iwakuni MCAS (RJOI), Japan
APR	passInternational	75	20030526-0	Yakovlev 42D	Ukrainian-Mediterranean Airlines	FRU	TZX	Bishkek-Manas International Airport (FRU/UAFM), Kyrgyzstan	Trabzon Airport (TZX/LTCG), Turkey
ICL	other	2	20030601-0	Learjet 45	Eurojet Italia	LIN	GOA	Milano-Linate Airport (LIN/LIML), Italy	Genoa-Cristoforo Colombo Airport (GOA/LIMJ), Italy
APR	passDomestic	1	20030622-0	Canadair CL-600-2B19 Regional Jet CRJ-100ER	Brit Air	NTE	BES	Nantes Atlantique Airport (NTE/LFRS), France	Brest-Guipavas Airport (BES/LFRB), France
TOF	passDomestic	21	20030108-0	Beechcraft 1900D		CLT	GSP	Charlotte-Douglas International Airport, NC (CLT/KCLT), United States of America	Greenville-Spartanburg Airport, SC (GSP/KGSP), United States of America
ENR	passDomestic	4	20030626-0	Cessna 208B Grand Caravan	Comav Aviation			Rooisand Desert Ranch, Namibia	?
UNK	military	15	20030630-0	Lockheed C-130H Hercules	Al Quwwat al-Jawwiya al-Jaza'eriya	DAAK	DAAK	Boufarik Airport (DAAK), Algeria	Boufarik Airport (DAAK), Algeria
APR	passDomestic	116	20030708-0	Boeing 737-2J8C	Sudan Airways	PZU	KRT	Port Sudan Airport (PZU/HSSP), Sudan	Khartoum-Civil Airport (KRT/HSSS), Sudan
ENR	passDomestic	4	20030713-0	Let L-410UVP-E	Ruiban and Duran C.A.	SVFM	SCI	Caracas/La Carlota-Gen. Francisco de Miranda AB (SVFM), Venezuela	San Cristóbal Airport (SCI/SVPM), Venezuela
MNV	other	2	20030716-0	Lockheed L-188A Electra	Air Spray (1967)	YXC	YXC	Cranbrook Airport, BC (YXC/CYXC), Canada	Cranbrook Airport, BC (YXC/CYXC), Canada
ENR	passDomestic	14	20030719-0	Swearingen SA226-TC Metro II	Ryan Blake Air Charter	WIL	UAS	Nairobi-Wilson Airport (WIL/HKNW), Kenya	Samburu Airport (UAS/HKSB), Kenya
APR	other	1	20030723-0	Cessna 551 Citation II/SP	Petroforte Bras. Petroleo Ltda	LIP	SOD	Lins Airport, SP (LIP/SBLN), Brazil	Sorocaba Airport, SP (SOD/SDCO), Brazil
APR	other	2	20030804-0	Learjet 35A	Air East Management	FRG	GON	Farmingdale-Republic Field, NY (FRG/KFRG), United States of America	Groton-New London Airport, CT (GON), United States of America
APR	passDomestic	1	20030808-0	Cessna 208B Grand Caravan	Servicios Aéreos Sucre - SASCA	PMV	CAJ	Porlamar-del Caribe Santiago Mariño International Airport (PMV/SVMG), Venezuela	Canaima Airport (CAJ/SVCN), Venezuela
ENR	military	2	20030812-0	Beechcraft C-12F Huron  (A200CF Super King Air)	United States Army	AAF	AAF	Pyongtaek-Desiderio AAF (RKSG), South Korea	Pyongtaek-Desiderio AAF (RKSG), South Korea
ENR	cargo	2	20030817-0	Reims Cessna F406 Caravan II	Hageland Aviation Services	BRW	AIN	Barrow-Wiley Post/Will Rogers Memorial Airport, AK (BRW/PABR), United States of America	Wainwright Airport, AK (AIN), United States of America
ENR	passDomestic	21	20030824-0	Let L-410UVP-E3	Tropical Airways	CAP	PAX	Cap Haitien Airport (CAP/MTCH), Haiti	Port-de-Paix Airport (PAX/MTPX), Haiti
ENR	other	2	20030826-0	Beechcraft 1900D		HYA	ALB	Hyannis-Barnstable Airport, MA (HYA/KHYA), United States of America	Albany Airport, NY (ALB/KALB), United States of America
APR	passDomestic	8	20030911-0	Cessna 208B Grand Caravan	Wasaya Airways	YPL	SUR	Pickle Lake Airport, ON (YPL/CYPL), Canada	Summer Beaver Airport, ON (SUR), Canada
ENR	private	10	20030912-0	Beechcraft B200 Super King Air	Willis Lease Finance Corporation	FNC	AGP	Funchal Airport (FNC/LPFU), Portugal	Málaga Airport (AGP/LEMG), Spain
UNK	military	6	20030919-0	Lockheed C-130A Hercules	Fuerza Aérea Mexicana	MXL	MMSM	Mexicali Airport (MXL/MMML), Mexico	Santa Lucia AB (MMSM), Mexico
LDG	cargo	1	20030919-1	Learjet 25B	Ameristar Jet Charter	ELP	DRT	El Paso International Airport, TX (ELP/KELP), United States of America	Del Rio International Airport, TX (DRT), United States of America
MNV	private	3	20030920-0	Hawker Siddeley HS-125-700A	Star Flite Aviation	HOU	BMT	Houston-William P. Hobby Airport, TX (HOU/KHOU), United States of America	Beaumont Municipal Airport, TX (BMT), United States of America
ICL	private	2	20030925-0	Grumman HU-16C Albatross	Corsair Aviation Holdings Inc	FPR	FPR	Fort Pierce-Saint Lucie County Airport, FL (FPR/KFPR), United States of America	Fort Pierce-Saint Lucie County Airport, FL (FPR/KFPR), United States of America
UNK	other	1	20031011-0	Antonov 2TP	Transmandu	URM		Uriman Airport (URM/SVUM), Venezuela	?
ENR	cargo	2	20031003-0	Convair CV-580F	Air Freight NZ	CHC	PMR	Christchurch International Airport (CHC/NZCH), New Zealand	Palmerston North Airport (PMR/NZPM), New Zealand
ENR	cargo	5	20031026-0	Fairchild FH-227B	CATA Linea Aérea	EZE	CNQ	Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE/SAEZ), Argentina	Corrientes-Camba Punta Airport, CR (CNQ/SARC), Argentina
APR	other	3	20031027-0	British Aerospace BAe-125-800A	Aeroextra	TAM		Tampico-Gen F Javier Mina Airport (TAM/MMTM), Mexico	Las Potrancas Ranch Airstrip, Mexico
APR	cargo	1	20031029-0	Cessna 208B Super Cargomaster		CPR	COD	Casper Airport, WY (CPR/KCPR), United States of America	Cody-Yellowstone Regional Airport, WY (COD), United States of America
APR	cargo	13	20031117-0	Antonov 12BP	Sarit Airlines	KRT	WUU	Khartoum-Civil Airport (KRT/HSSS), Sudan	Wau Airport (WUU/HSWW), South Sudan
TOF	military	33	20031129-0	Antonov 26	Force Aérienne Congolaise	BNB		Boende Airport (BNB/FZGN), Congo (Democratic Republic)	Kinshasa (unknown airport), Congo (Democratic Republic)
APR	cargo	1	20031129-1	Swearingen SA227-AT Merlin IVC	Ameriflight	BFI	SFF	Seattle-Boeing Field International Airport, WA (BFI/KBFI), United States of America	Spokane-Felts Field, WA (SFF/KSFF), United States of America
ICL	passDomestic	2	20031108-0	Shorts SC.7 Skyvan 3M-100	Trans Guyana Airways	OGL	EKE	Ogle Airport (OGL), Guyana	Ekereku Airport (EKE), Guyana
APR	passDomestic	3	20031212-0	Britten-Norman BN-2A-21 Islander	Chemtrad Aviation		TUG	Maconacon Airport, Philippines	Tuguegarao Airport (TUG/RPUT), Philippines
APR	other	2	20031204-1	Beechcraft B200 Super King Air	Southeastern Air Charter	KDQH	KCCO	Douglas Municipal Airport, GA (KDQH), United States of America	Atlanta-Newnan Coweta County Airport, GA (KCCO), United States of America
TOF	passDomestic	2	20031216-0	de Havilland Canada DHC-3 Turbo Otter	Huron Air			Jellicoe, ON, Canada	?
ENR	military	7	20031217-0	CASA CN-235M-200	L'Armée de L'Air	LFBF	LFBF	Toulouse-Francazal Air Base (BA 101) (LFBF), France	Toulouse-Francazal Air Base (BA 101) (LFBF), France
ENR	cargo	3	20031218-1	McDonnell Douglas DC-9-15F	Líneas Aéreas Suramericanas	EYP	MVP	El Yopal Airport (EYP/SKYP), Colombia	Mitú Airport (MVP/SKMU), Colombia
ENR	other	2	20031223-0	Learjet 24B	Pavair	CNO	SUN	Chino Airport, CA (CNO), United States of America	Hailey-Sun Valley Airport, ID (SUN/KSUN), United States of America
APR	passDomestic	46	20030109-0	Fokker F-28 Fellowship 1000	Transportes Aéreos Nacionales de la Selva - TANS	CIX	CHH	Chiclayo-Capitan FAP Jose Abelardo Quiñones Airport (CIX/SPHI), Peru	Chachapoyas Airport (CHH/SPPY), Peru
ENR	other	7	20030625-0	Lockheed C-130 Hercules	Islamic Republic of Iran Air Force - IRIAF	THR	THR	Tehran-Mehrabad Airport (THR/OIII), Iran	Tehran-Mehrabad Airport (THR/OIII), Iran
ENR	passDomestic	148	20040103-0	Boeing 737-3Q8	Flash Airlines	SSH	CAI	Sharm el Sheikh-Ophira Airport (SSH), Egypt	Cairo International Airport (CAI/HECA), Egypt
ENR	passDomestic	10	20040117-0	Cessna 208B Grand Caravan	Georgian Express	CYPT	YQG	Pelee Island, ON (CYPT), Canada	Windsor Airport, ON (YQG/CYQG), Canada
APR	passDomestic	1	20040128-0	Beechcraft 1900D	Tassili Airlines	HRM	GHA	Hassi R'Mel-Tilrempt Airport (HRM/DAFH), Algeria	Ghardaia-Noumerate Airport (GHA/DAUG), Algeria
APR	passInternational	43	20040210-0	Fokker 50	Kish Air	KIH	SHJ	Kish Island Airport (KIH/OIBK), Iran	Sharjah Airport (SHJ/OMSJ), United Arab Emirates
APR	passDomestic	6	20040224-0	Cessna 500 Citation I	City-jet Luftfahrtgesellschaft	CIA	CAG	Roma-Ciampino Airport (CIA/LIRA), Italy	Cagliari-Elmas Airport (CAG/LIEE), Italy
APR	other	9	20040226-0	Beechcraft 200 Super King Air	Macedonian Government	SKP	OMO	Skopje Airport (SKP/LWSK), Macedonia (FYROM)	Mostar Airport (OMO/LQMO), Bosnia and Herzegovina
ICL	cargo	3	20040304-0	Ilyushin 76MD	Azov-Avia Airlines	BAK	KBL	Baku-Bina International Airport (BAK/UBBB), Azerbaijan	Kabul Airport (KBL/OAKB), Afghanistan
UNK	private	2	20040308-0	Canadair CL-215-6B11 (CL-415)	Securité Civile			?	?
APR	military	4	20040310-0	Cessna UC-35D Citation Encore	United States Marine Corps		NKX	?	San Diego-Miramar NAS, CA (NKX/KNKX), United States of America
APR	military	5	20040316-0	Beechcraft 1900C	United States Air Force - USAF		XSD	?	Tonopah-Test Range Airport, NV (XSD), United States of America
APR	other	3	20040324-0	Antonov 2SX	Mr. Plenkin			?	?
ENR	passDomestic	7	20040504-0	Cessna 208B Grand Caravan	Gobernación del Estado Bolívar	CBL	SVUQ	Ciudad Bolívar Airport (CBL/SVCB), Venezuela	Uonquen Airport (SVUQ), Venezuela
APR	exec	5	20040505-0	Swearingen SA227-AC Metro III	Aerotransporte Petrolero	BOG	SKLC	Bogotá-Eldorado Airport (BOG/SKBO), Colombia	Carepa-Antonio Roldán Betancourt Airport (SKLC), Colombia
ENR	other	2	20040505-1	IRMA/Pilatus Britten-Norman BN-2B-27 Islander	Consejo de Recursos Minerales			?	?
TOF	cargo	6	20040506-0	Let L-410UVP	Kush Air			Jiech, South Sudan	Ayod Airstrip, South Sudan
UNK	other	1	20040511-0	Antonov 12BP	El Magal Aviation			?	?
APR	passDomestic	33	20040514-0	Embraer 120ER Brasilia	Rico Linhas Aéreas	TFF	MAO	Tefé Airport, AM (TFF/SBTF), Brazil	Manaus-Eduardo Gomes International Airport, AM (MAO/SBEG), Brazil
ENR	cargo	7	20040518-0	Ilyushin 76TD		URC	GYD	Urumqi Airport (URC/ZWWW), China	Baku-Heydar Aliyev International Airport (GYD/UBBB), Azerbaijan
TOF	passDomestic	1	20040518-1	Antonov 2P	Araiavia			Bozoy, Kazakhstan	?
UNK	cargo	2	20040523-0	Let L-410UVP-E3	Blue Bird Aviation	WIL	MGQ	Nairobi-Wilson Airport (WIL/HKNW), Kenya	Mogadishu International Airport (MGQ/HCMM), Somalia
APR	cargo	3	20040525-0	de Havilland Canada DHC-6 Twin Otter 300	Yeti Airlines	KTM	LUA	Kathmandu-Tribhuvan Airport (KTM/VNKT), Nepal	Lukla Airport (LUA/VNLK), Nepal
ENR	passDomestic	19	20040608-0	Hawker Siddeley HS-748-232 Srs. 2A	Gabon Express	LBV	MVB	Libreville Airport (LBV/FOOL), Gabon	Franceville/Mvengue Airport (MVB/FOON), Gabon
ENR	other	2	20040613-0	Beechcraft 200 Super King Air	Rader Aviation	KSXL	LWB	Summersville Airport, WV (KSXL), United States of America	Lewisburg-Greenbrier Valley Airport, WV (LWB/KLWB), United States of America
ENR	passDomestic	2	20040626-0	Lisunov Li-2T	FLA RF	UUBM	KLF	Moskva-Myachkovo Airport (UUBM), Russia	Kaluga-Grabtsevo Airport (KLF), Russia
TOF	passDomestic	2	20040628-0	Beechcraft 200 Super King Air	Ngangeni Air Charters		VNX	?	Vilanculos Airport (VNX/FQVL), Mozambique
TOF	passDomestic	7	20040702-0	IAI 1124 Westwind	Air Trek	PTY	IAD	Panama City-Tocumen International Airport (PTY/MPTO), Panama	Washington-Dulles International Airport, DC (IAD/KIAD), United States of America
ENR	cargo	1	20040712-0	Convair CV-440	Dodita Air Cargo	SJU	SXM	San Juan-Luis Muñoz Marín International Airport (SJU/TJSJ), Puerto Rico	Sint Maarten-Juliana Airport (SXM/TNCM), Netherlands Antilles
ENR	cargo	2	20040729-0	de Havilland Canada DHC-6 Twin Otter 300	Airlines PNG	POM	ONB	Port Moresby-Jacksons International Airport (POM/AYPY), Papua New Guinea	Ononge Airport (ONB), Papua New Guinea
LDG	passDomestic	37	20040113-0	Yakovlev 40	Uzbekistan Airways	TMJ	TAS	Termez Airport (TMJ/UTST), Uzbekistan	Tashkent Airport (TAS/UTTT), Uzbekistan
ENR	cargo	2	20040817-0	Beechcraft 99	Alpine Aviation	BIL	FCA	Billings-Logan International Airport, MT (BIL/KBIL), United States of America	Kalispell-Glacier National Park Airport, MT (FCA/KFCA), United States of America
ENR	cargo	3	20040818-0	Cessna 208B Grand Caravan	Transworld Safaris	GOM		Goma Airport (GOM/FZNA), Congo (Democratic Republic)	Walikale Airstrip, Congo (Democratic Republic)
ENR	military	30	20040821-0	Shorts 360-300	Fuerza Aérea Venezolana - FAV	SVLO	MYC	La Orchila Airport (SVLO), Venezuela	Maracay-El Libertador AB (MYC/SVBL), Venezuela
ENR	passDomestic	44	20040824-0	Tupolev 134A-3	Volga-Aviaexpress	DME	VOG	Moskva-Domodedovo Airport (DME/UUDD), Russia	Volgograd Airport (VOG/URWW), Russia
ENR	passDomestic	46	20040824-1	Tupolev 154B-2	Sibir Airlines	DME	AER	Moskva-Domodedovo Airport (DME/UUDD), Russia	Adler/Sochi Airport (AER/URSS), Russia
ENR	exec	1	20040827-1	de Havilland Canada DHC-3 Otter	Mavrik Aire	MCG	UNK	McGrath Airport, AK (MCG/PAMC), United States of America	Unalakleet Airport, AK (UNK/PAUN), United States of America
APR	cargo	2	20040909-0	North American CT-39A Sabreliner	Jett Paqueteria	MEX	VSA	Mexico City-Benito Juárez International Airport (MEX/MMMX), Mexico	Villahermosa-Capitan Carlos Perez Airport (VSA/MMVA), Mexico
ENR	cargo	1	20040929-0	Pilatus Britten-Norman BN-2A-27 Islander	Air Flamenco	MAZ	SIG	Mayaguez-Eugenio M. de Hostos Airport (MAZ/TJMZ), Puerto Rico	San Juan-Isla Grande Airport (SIG/TJIG), Puerto Rico
ENR	cargo	4	20041005-0	Antonov 12	Sarit Airlines	EBD	JUB	El Obeid Airport (EBD/HSOB), Sudan	Juba Airport (JUB/HSSJ), South Sudan
APR	other	2	20041014-1	Canadair CL-600-2B19 Regional Jet CRJ-200LR		LIT	MSP	Little Rock National Airport, AR (LIT/KLIT), United States of America	Minneapolis-St. Paul International Airport, MN (MSP/KMSP), United States of America
APR	cargo	3	20041015-0	Douglas DC-3C	Aerovanguardia	VVC	MDE	Villavicencio-La Vanguardia Airport (VVC/SKVV), Colombia	Rionegro/Medellín-José María Córdova Airport (MDE/SKRG), Colombia
TOF	cargo	7	20041014-0	Boeing 747-244BSF	MK Airlines	YHZ	ZAZ	Halifax International Airport, NS (YHZ/CYHZ), Canada	Zaragoza Airport (ZAZ/LEZG), Spain
ENR	cargo	2	20041016-0	Britten-Norman BN-2A-21 Islander	Pacific Airways	XCN	PPS	Coron Airport (XCN), Philippines	Puerto Princesa Airport (PPS/RPVP), Philippines
APR	passDomestic	13	20041019-0	British Aerospace 3201 Jetstream 32EP		STL	IRK	Saint Louis-Lambert International Airport, MO (STL/KSTL), United States of America	Kirksville Regional Airport, MO (IRK/KIRK), United States of America
ENR	other	1	20041022-1	Reims Cessna F406 Caravan II	Highland Airways	SYY	INV	Stornoway Airport (SYY/EGPO), United Kingdom	Inverness Airport (INV/EGPE), United Kingdom
ENR	other	5	20041024-0	Learjet 35A	Med Flight Air Ambulance	SDM	ABQ	San Diego-Brown Field Municipal Airport, CA (SDM/KSDM), United States of America	Albuquerque International Airport, NM (ABQ/KABQ), United States of America
LDG	passDomestic	4	20041118-0	British Aerospace 3101 Jetstream 31	Venezolana - Linea Aerea Bolivariana	VIG	CCS	El Vigia Airport (VIG/SVVG), Venezuela	Caracas-Simón Bolívar International Airport (CCS/SVMI), Venezuela
APR	exec	10	20041024-1	Beechcraft 200 Super King Air	Hendrick Motorsports, Inc	KJQF	KMTV	Concord Regional Airport, NC (KJQF), United States of America	Martinsville-Blue Ridge Airport, VA (KMTV), United States of America
ICL	passDomestic	55	20041121-0	Canadair CL-600-2B19 Regional Jet CRJ-200LR	China Yunnan Airlines	BAV	SHA	Baotou Airport (BAV/ZBOW), China	Shanghai-Hongqiao Airport (SHA/ZSSS), China
APR	other	3	20041122-0	Gulfstream Aerospace G-1159A Gulfstream III	Business Jet Services	DAL	HOU	Dallas-Love Field, TX (DAL/KDAL), United States of America	Houston-William P. Hobby Airport, TX (HOU/KHOU), United States of America
TOF	passDomestic	3	20041128-0	Canadair CL-600-2A12 Challenger 601		MTJ	SBN	Montrose County Airport, CO (MTJ/KMTJ), United States of America	South Bend Regional, IN (SBN/KSBN), United States of America
ENR	military	6	20041127-0	CASA C-212 Aviocar 200		BPM	FAH	Bagram Air Base (BPM/OAIX), Afghanistan	Farah Airport (FAH/OAFR), Afghanistan
LDG	passDomestic	25	20041130-0	McDonnell Douglas MD-82	Lion Air	CGK	SOC	Jakarta-Soekarno-Hatta International Airport (CGK/WIII), Indonesia	Solo City-Adi Sumarmo Airport (SOC/WARQ), Indonesia
ENR	other	2	20041130-1	MBB HFB-320 Hansa Jet	Grand Aire Express	SUS	TOL	Saint Louis-Spirit of St. Louis Airport, MO (SUS/KSUS), United States of America	Toledo-Express Airport, OH (TOL/KTOL), United States of America
ENR	military	16	20041210-0	PZL-Mielec M28	Guardia Nacional Bolivariana de Venezuela - GNBV	PYH	SVFM	Puerto Ayacucho Airport (PYH/SVPA), Venezuela	Caracas/La Carlota-Gen. Francisco de Miranda AB (SVFM), Venezuela
APR	cargo	3	20041211-0	Embraer 110 Bandeirante	NHR Táxi-Aéreo	GRU	UBA	São Paulo-Guarulhos International Airport, SP (GRU/SBGR), Brazil	Uberaba Airport, MG (UBA/SBUR), Brazil
ENR	cargo	1	20041211-1	Ilyushin 76TD	Airline Transport	KRT	SHJ	Khartoum-Civil Airport (KRT/HSSS), Sudan	Sharjah Airport (SHJ/OMSJ), United Arab Emirates
APR	cargo	2	20041206-0	Cessna 208B Grand Caravan	Salmon Air	SLC	SUN	Salt Lake City International Airport, UT (SLC/KSLC), United States of America	Hailey-Friedman Memorial Airport, ID (SUN/KSUN), United States of America
APR	cargo	1	20040813-0	Convair CV-580	Air Tahoma	MEM	CVG	Memphis International Airport, TN (MEM/KMEM), United States of America	Cincinnati/Northern Kentucky Airport, KY (CVG/KCVG), United States of America
LDG	cargo	1	20050113-0	Embraer 110P1 Bandeirante	AirNow	BGR	MHT	Bangor International Airport, ME (BGR/KBGR), United States of America	Manchester Municipal Airport, NH (MHT/KMHT), United States of America
APR	passDomestic	9	20050113-1	Antonov 2	Tura Air Enterprise	UNIW	UNIT	Vanavara (UNIW), Russia	Tura (UNIT), Russia
APR	cargo	2	20050127-0	Let L-410UVP-E4	Farnair Hungary	BBU	IAS	Bucharest-Baneasa Airport (BBU/LRBS), Romania	Iasi Airport (IAS/LRIA), Romania
ENR	military	10	20050130-0	Lockheed Hercules C.1	Royal Air Force - RAF	SDA		Baghdad International Airport (SDA/ORBS), Iraq	Balad AB, Iraq
ENR	cargo	7	20050203-0	Ilyushin 76TD	Air West, Co	SHJ	KRT	Sharjah Airport (SHJ/OMSJ), United Arab Emirates	Khartoum-Civil Airport (KRT/HSSS), Sudan
ENR	military	9	20050331-0	Lockheed MC-130H Hercules	United States Air Force - USAF	TIA	TIA	Tirana-Rinas Airport (TIA/LATI), Albania	Tirana-Rinas Airport (TIA/LATI), Albania
ENR	passDomestic	104	20050203-1	Boeing 737-242		HEA	KBL	Herat Airport (HEA/OAHR), Afghanistan	Kabul-Khwaja Rawash Airport (KBL/OAKB), Afghanistan
APR	exec	8	20050216-0	Cessna 560 Citation V	Circuit City Stores	COU	PUB	Columbia Regional Airport, MO (COU/KCOU), United States of America	Pueblo Memorial Airport, CO (PUB/KPUB), United States of America
APR	passDomestic	2	20050222-0	de Havilland Canada DHC-6 Twin Otter 300	MAF PNG - Missionary Aviation Fellowship	TBG	BIZ	Tabubil Airport (TBG), Papua New Guinea	Bimin Airport (BIZ), Papua New Guinea
APR	military	15	20050222-1	CASA/Nurtanio NC-212 Aviocar 100	Kepolisian Negara Republik Indonesia (Indonesian Police)	DJJ	ZRM	Jayapura-Sentani Airport (DJJ/WAJJ), Indonesia	Sarmi Airport (ZRM/WAJI), Indonesia
ENR	exec	7	20050224-0	IAI 1124 Westwind	Gobierno del Estado de Colima	TLC	CLQ	Toluca Airport (TLC/MMTO), Mexico	Colima Airport (CLQ/MMIA), Mexico
